id,project,file,function,func_body,has_mechanism,mechanism_found,notes
183,keras,keras/keras/layers/regularization/alpha_dropout_test.py,test_AlphaDropout,"def test_AlphaDropout(self):
        test_utils.layer_test(
            keras.layers.AlphaDropout,
            kwargs={""rate"": 0.2},
            input_shape=(3, 2, 3),
        )",N,,
184,scikit-learn,scikit-learn/sklearn/ensemble/tests/test_gradient_boosting.py,test_gradient_boosting_without_early_stopping,"def test_gradient_boosting_without_early_stopping():
    # When early stopping is not used, the number of trained estimators
    # must be the one specified.
    X, y = make_classification(n_samples=1000, random_state=0)

    gbc = GradientBoostingClassifier(
        n_estimators=50, learning_rate=0.1, max_depth=3, random_state=42
    )
    gbc.fit(X, y)
    gbr = GradientBoostingRegressor(
        n_estimators=30, learning_rate=0.1, max_depth=3, random_state=42
    )
    gbr.fit(X, y)

    # The number of trained estimators must be the one specified.
    assert gbc.n_estimators_ == 50
    assert gbr.n_estimators_ == 30",N,,
185,ray,ray/dashboard/tests/test_dashboard.py,prepare_test_files,"def prepare_test_files():
    module_path = ray.dashboard.modules.__path__[0]
    filename = os.path.join(module_path, ""test_for_bad_import.py"")
    logger.info(""Prepare test file: %s"", filename)
    with open(filename, ""w"") as f:
        f.write("">>>"")",N,,
186,chalice,chalice/docs/source/samples/media-query/code/chalicelib/db.py,__init__,"def __init__(self, table_resource):
        self._table = table_resource",N,,
187,transformers,transformers/src/transformers/models/gpt2/tokenization_gpt2.py,prepare_for_tokenization,"def prepare_for_tokenization(self, text, is_split_into_words=False, **kwargs):
        add_prefix_space = kwargs.pop(""add_prefix_space"", self.add_prefix_space)
        if is_split_into_words or add_prefix_space:
            text = "" "" + text
        return (text, kwargs)",N,,
188,altair,altair/altair/expr/core.py,__ne__,"def __ne__(self, other):
        comp_value = BinaryExpression(""!=="", self, other)
        return self._from_expr(comp_value)",N,,
189,pwntools,pwntools/pwnlib/adb/adb.py,callback,"def callback(filename, data, size, chunk, chunk_size):
        have = len(data) + len(chunk)
        if size == 0:
            size = '???'
            percent = '???'
        else:
            percent = int(100 * have // size)
            size = misc.size(size)
        have = misc.size(have)
        w.status('%s/%s (%s%%)' % (have, size, percent))
        return True",N,,
190,jax,jax/jax/experimental/jax2tf/tests/shape_poly_test.py,test_shape_as_array,"def test_shape_as_array(self):
    def f_jax(x):
      # The entire x.shape is passed to jnp.array
      return x + jnp.sum(jnp.array(x.shape)).astype(np.int32)

    check_shape_poly(self,
                     f_jax,
                     arg_descriptors=[RandArg((3, 4), _f32)],
                     poly_axes=[0])",N,,
191,keras,keras/keras/testing_infra/test_utils.py,get_small_subclass_mlp_with_custom_build,"def get_small_subclass_mlp_with_custom_build(num_hidden, num_classes):
    return _SmallSubclassMLPCustomBuild(num_hidden, num_classes)",N,,
192,mypy,mypy/mypy/fastparse.py,visit_For,"def visit_For(self, n: ast3.For) -> ForStmt:
        target_type = self.translate_type_comment(n, n.type_comment)
        node = ForStmt(
            self.visit(n.target),
            self.visit(n.iter),
            self.as_required_block(n.body),
            self.as_block(n.orelse),
            target_type,
        )
        return self.set_line(node, n)",N,,
193,deep-learning-for-image-processing,deep-learning-for-image-processing/pytorch_object_detection/ssd/predict_test.py,main,"def main():
    # get devices
    device = torch.device(""cuda:0"" if torch.cuda.is_available() else ""cpu"")
    print(device)

    # create model
    # 目标检测数 + 背景
    num_classes = 20 + 1
    model = create_model(num_classes=num_classes)

    # load train weights
    weights_path = ""./save_weights/ssd300-14.pth""
    weights_dict = torch.load(weights_path, map_location='cpu')
    weights_dict = weights_dict[""model""] if ""model"" in weights_dict else weights_dict
    model.load_state_dict(weights_dict)
    model.to(device)

    # read class_indict
    json_path = ""./pascal_voc_classes.json""
    assert os.path.exists(json_path), ""file '{}' dose not exist."".format(json_path)
    json_file = open(json_path, 'r')
    class_dict = json.load(json_file)
    json_file.close()
    category_index = {str(v): str(k) for k, v in class_dict.items()}

    # load image
    original_img = Image.open(""./test.jpg"")

    # from pil image to tensor, do not normalize image
    data_transform = transforms.Compose([transforms.Resize(),
                                         transforms.ToTensor(),
                                         transforms.Normalization()])
    img, _ = data_transform(original_img)
    # expand batch dimension
    img = torch.unsqueeze(img, dim=0)

    model.eval()
    with torch.no_grad():
        # initial model
        init_img = torch.zeros((1, 3, 300, 300), device=device)
        model(init_img)

        time_start = time_synchronized()
        predictions = model(img.to(device))[0]  # bboxes_out, labels_out, scores_out
        time_end = time_synchronized()
        print(""inference+NMS time: {}"".format(time_end - time_start))

        predict_boxes = predictions[0].to(""cpu"").numpy()
        predict_boxes[:, [0, 2]] = predict_boxes[:, [0, 2]] * original_img.size[0]
        predict_boxes[:, [1, 3]] = predict_boxes[:, [1, 3]] * original_img.size[1]
        predict_classes = predictions[1].to(""cpu"").numpy()
        predict_scores = predictions[2].to(""cpu"").numpy()

        if len(predict_boxes) == 0:
            print(""没有检测到任何目标!"")

        plot_img = draw_objs(original_img,
                             predict_boxes,
                             predict_classes,
                             predict_scores,
                             category_index=category_index,
                             box_thresh=0.5,
                             line_thickness=3,
                             font='arial.ttf',
                             font_size=20)
        plt.imshow(plot_img)
        plt.show()
        # 保存预测的图片结果
        plot_img.save(""test_result.jpg"")",N,,
194,tvm,tvm/python/tvm/auto_scheduler/cost_model/cost_model.py,__init__,"def __init__(self):
        self.__init_handle_by_constructor__(_ffi_api.RandomModel)",N,,
195,django,django/tests/admin_filters/tests.py,test_emptylistfieldfilter_genericrelation,"def test_emptylistfieldfilter_genericrelation(self):
        class BookmarkGenericRelation(ModelAdmin):
            list_filter = ((""tags"", EmptyFieldListFilter),)

        modeladmin = BookmarkGenericRelation(Bookmark, site)

        django_bookmark = Bookmark.objects.create(url=""https://www.djangoproject.com/"")
        python_bookmark = Bookmark.objects.create(url=""https://www.python.org/"")
        none_tags = Bookmark.objects.create(url=""https://www.kernel.org/"")
        TaggedItem.objects.create(content_object=django_bookmark, tag=""python"")
        TaggedItem.objects.create(content_object=python_bookmark, tag=""python"")

        tests = [
            ({""tags__isempty"": ""1""}, [none_tags]),
            ({""tags__isempty"": ""0""}, [django_bookmark, python_bookmark]),
        ]
        for query_string, expected_result in tests:
            with self.subTest(query_string=query_string):
                request = self.request_factory.get(""/"", query_string)
                request.user = self.alfred
                changelist = modeladmin.get_changelist_instance(request)
                queryset = changelist.get_queryset(request)
                self.assertCountEqual(queryset, expected_result)",N,,
196,portia,portia/slybot/slybot/starturls/generator.py,__call__,"def __call__(self, spec):
        return spec",N,,
197,deepfacelive,deepfacelive/apps/DeepFaceLive/backend/FaceDetector.py,on_cs_sort_by,"def on_cs_sort_by(self, idx, sort_by):
        state, cs = self.get_state(), self.get_control_sheet()
        state.get_detector_state().sort_by = sort_by
        self.save_state()
        self.reemit_frame_signal.send()",N,,
198,dask,dask/dask/base.py,__call__,"def __call__(
        self, string: ReadableBuffer = b"""", *, usedforsecurity: bool = True
    ) -> hashlib._Hash:
        ...",N,,
199,mkdocs,mkdocs/mkdocs/tests/structure/file_tests.py,test_file_eq,"def test_file_eq(self):
        file = File('a.md', '/path/to/docs', '/path/to/site', use_directory_urls=False)
        self.assertTrue(
            file == File('a.md', '/path/to/docs', '/path/to/site', use_directory_urls=False)
        )",N,,
200,ray,ray/rllib/examples/rl_module/random_rl_module.py,compile,"def compile(self, *args, **kwargs):
        """"""Dummy method for compatibility with TorchRLModule.

        This is hit when RolloutWorker tries to compile TorchRLModule.""""""
        pass",N,,
201,hydra,hydra/tests/test_compose.py,test_enum_with_removed_defaults_list,"def test_enum_with_removed_defaults_list(hydra_restore_singletons: Any) -> None:
    class Category(Enum):
        X = 0
        Y = 1
        Z = 2

    @dataclass
    class Conf:
        enum_dict: Dict[Category, str] = field(default_factory=dict)
        int_dict: Dict[int, str] = field(default_factory=dict)
        str_dict: Dict[str, str] = field(default_factory=dict)

    cs = ConfigStore.instance()
    cs.store(name=""conf"", node=Conf)

    cfg = compose(""conf"")
    assert cfg == {""enum_dict"": {}, ""int_dict"": {}, ""str_dict"": {}}",N,,
202,pandas,pandas/pandas/tests/plotting/common.py,_get_axes_layout,"def _get_axes_layout(self, axes):
        x_set = set()
        y_set = set()
        for ax in axes:
            # check axes coordinates to estimate layout
            points = ax.get_position().get_points()
            x_set.add(points[0][0])
            y_set.add(points[0][1])
        return (len(y_set), len(x_set))",N,,
203,transformers,transformers/src/transformers/models/switch_transformers/convert_big_switch.py,get_key_and_tensorstore_dict,"def get_key_and_tensorstore_dict(layer, checkpoint_info, switch_checkpoint_path):
    if ""metadata"" in layer:
        split_layer = layer.split(""metadata"")
        curr_real_layer_name = """".join(split_layer[0])[:-1]
        split_layer = [tuple((""metadata"" + split_layer[1]).split(""/""))]
    elif ""kvstore"" in layer:
        split_layer = layer.split(""kvstore"")
        curr_real_layer_name = """".join(split_layer[0])[:-1]
        split_layer = [tuple((""kvstore"" + split_layer[1]).split(""/""))]

    else:
        split_layer = layer.split(""/"")
        curr_real_layer_name = ""/"".join(split_layer[:-1])
        split_layer[-1] = (split_layer[-1],)

    if ""kvstore/path"" in layer:
        content = f""{switch_checkpoint_path}/{checkpoint_info[layer]}""
    elif ""kvstore/driver"" in layer:
        content = ""file""
    else:
        content = checkpoint_info[layer]

    return curr_real_layer_name, split_layer, content",N,,
204,django,django/tests/migrations/test_state.py,test_ignore_order_wrt,"def test_ignore_order_wrt(self):
        """"""
        Makes sure ProjectState doesn't include OrderWrt fields when
        making from existing models.
        """"""
        new_apps = Apps()

        class Author(models.Model):
            name = models.TextField()

            class Meta:
                app_label = ""migrations""
                apps = new_apps

        class Book(models.Model):
            author = models.ForeignKey(Author, models.CASCADE)

            class Meta:
                app_label = ""migrations""
                apps = new_apps
                order_with_respect_to = ""author""

        # Make a valid ProjectState and render it
        project_state = ProjectState()
        project_state.add_model(ModelState.from_model(Author))
        project_state.add_model(ModelState.from_model(Book))
        self.assertEqual(
            list(project_state.models[""migrations"", ""book""].fields),
            [""id"", ""author""],
        )",N,,
205,openage,openage/openage/convert/entity_object/conversion/aoc/genie_terrain.py,get_terrain,"def get_terrain(self) -> GenieTerrainObject:
        """"""
        Return the subterrain used for the graphics.
        """"""
        return self.terrain",N,,
206,scipy,scipy/scipy/signal/tests/test_filter_design.py,test_ba_output,"def test_ba_output(self):
        # Compare coefficients with Matlab ones
        # for the equivalent input:
        b, a = iirpeak(0.06, 30)
        b2 = [
             3.131764229e-03, 0,
             -3.131764229e-03
             ]
        a2 = [
             1.0000000e+00, -1.958421917e+00,
             9.9373647e-01
             ]
        assert_allclose(b, b2, rtol=1e-8)
        assert_allclose(a, a2, rtol=1e-8)",N,,
207,universe,universe/universe/remotes/hardcoded_addresses.py,close,"def close(self):
        pass",N,,
208,fairseq,fairseq/fairseq/logging/progress_bar.py,__iter__,"def __iter__(self):
        for obj in self.iterable:
            yield obj",N,,
209,plotly.py,plotly.py/packages/python/plotly/plotly/graph_objs/_violin.py,yaxis,"def yaxis(self, val):
        self[""yaxis""] = val",N,,
210,tvm,tvm/tests/python/frontend/pytorch/test_forward.py,test_fn_scatter_reduce,"def test_fn_scatter_reduce(dim, reduce):
        return lambda data, index, src: torch.scatter_reduce(
            data, dim=dim, index=index, src=src, reduce=reduce
        )",N,,
211,pandas,pandas/pandas/tests/apply/test_frame_apply.py,test_infer_output_shape_listlike_columns_with_timestamp,"def test_infer_output_shape_listlike_columns_with_timestamp():
    # GH 17892
    df = DataFrame(
        {
            ""a"": [
                Timestamp(""2010-02-01""),
                Timestamp(""2010-02-04""),
                Timestamp(""2010-02-05""),
                Timestamp(""2010-02-06""),
            ],
            ""b"": [9, 5, 4, 3],
            ""c"": [5, 3, 4, 2],
            ""d"": [1, 2, 3, 4],
        }
    )

    def fun(x):
        return (1, 2)

    result = df.apply(fun, axis=1)
    expected = Series([(1, 2) for t in df.itertuples()])
    tm.assert_series_equal(result, expected)",N,,
212,xx-net,xx-net/code/default/lib/noarch/asn1crypto/core.py,native,"def native(self):
        """"""
        The native Python datatype representation of this value

        :return:
            A byte string or None
        """"""

        if self.contents is None:
            return None

        return self.__bytes__()",N,,
213,certbot,certbot/certbot/certbot/_internal/tests/cli_test.py,setUp,"def setUp(self):
        # pylint: disable=protected-access
        self.default1 = cli._Default()
        self.default2 = cli._Default()",N,,
214,transformers,transformers/src/transformers/models/mpnet/tokenization_mpnet.py,_tokenize_chinese_chars,"def _tokenize_chinese_chars(self, text):
        """"""Adds whitespace around any CJK character.""""""
        output = []
        for char in text:
            cp = ord(char)
            if self._is_chinese_char(cp):
                output.append("" "")
                output.append(char)
                output.append("" "")
            else:
                output.append(char)
        return """".join(output)",N,,
215,jumpserver,jumpserver/apps/ops/ansible/inventory.py,make_account_vars,"def make_account_vars(self, host, asset, account, automation, protocol, platform, gateway):
        from accounts.const import AutomationTypes
        if not account:
            host['error'] = _(""No account available"")
            return host

        port = protocol.port if protocol else 22
        host['ansible_host'] = asset.address
        host['ansible_port'] = port

        su_from = account.su_from
        if platform.su_enabled and su_from:
            su_from_auth = account.get_ansible_become_auth()
            host.update(su_from_auth)
            host.update(self.make_custom_become_ansible_vars(account, su_from_auth))
        elif platform.su_enabled and not su_from and \
                self.task_type in (AutomationTypes.change_secret, AutomationTypes.push_account):
            host.update(self.make_account_ansible_vars(account))
            host['ansible_become'] = True
            host['ansible_become_user'] = 'root'
            host['ansible_become_password'] = account.secret
        else:
            host.update(self.make_account_ansible_vars(account))

        if gateway:
            ansible_connection = host.get('ansible_connection', 'ssh')
            if ansible_connection in ('local', 'winrm'):
                host['gateway'] = {
                    'address': gateway.address, 'port': gateway.port,
                    'username': gateway.username, 'secret': gateway.password,
                    'private_key_path': gateway.private_key_path
                }
                host['jms_asset']['port'] = port
            else:
                ansible_ssh_common_args = self.make_proxy_command(gateway)
                host['jms_asset'].update(ansible_ssh_common_args)
                host.update(ansible_ssh_common_args)",N,,
216,fastapi,fastapi/tests/test_include_router_defaults_overrides.py,dep0,"async def dep0(response: Response):
    response.headers[""x-level0""] = ""True""",N,,
217,qlib,qlib/qlib/utils/time.py,get_min_delta,"def get_min_delta(left_frq: str, right_freq: str):
        """"""Calculate freq delta

        Parameters
        ----------
        left_frq: str
        right_freq: str

        Returns
        -------

        """"""
        minutes_map = {
            Freq.NORM_FREQ_MINUTE: 1,
            Freq.NORM_FREQ_DAY: 60 * 24,
            Freq.NORM_FREQ_WEEK: 7 * 60 * 24,
            Freq.NORM_FREQ_MONTH: 30 * 7 * 60 * 24,
        }
        left_freq = Freq(left_frq)
        left_minutes = left_freq.count * minutes_map[left_freq.base]
        right_freq = Freq(right_freq)
        right_minutes = right_freq.count * minutes_map[right_freq.base]
        return left_minutes - right_minutes",N,,
218,openbbterminal,openbbterminal/openbb_terminal/core/integration_tests/integration_controller.py,display_summary,"def display_summary(
    fails: Dict[str, Dict[str, Any]],
    n_successes: int,
    n_failures: int,
    seconds: float,
):
    """"""Generates the summary message

    Parameters
    ----------
    fails: Dict[str, Dict[str, Any]]
        The dictionary with failure information
    n_successes: int
        The number of successes
    n_failures: int
        The number of failures
    seconds: float
        The number of seconds it took to run the tests
    """"""

    if fails:
        console.print(""\n"" + to_section_title(""Integration Test Summary""))

        for file, exception in fails.items():
            # Assuming the broken command is the last one called in the traceback
            broken_cmd = ""unknown""
            frame: FrameSummary
            for _, frame in reversed(list(enumerate(exception[""traceback""]))):
                if ""_controller.py"" in frame.filename and ""call_"" in frame.name:
                    broken_cmd = frame.name.split(""_"")[1]
                    break

            console.print(f""FAILED {file} -> command: {broken_cmd}"")

    if n_successes or n_failures:
        failures = (
            f""[bold][red]{n_failures} failed, [/red][/bold]"" if n_failures > 0 else """"
        )
        successes = f""[green]{n_successes} passed [/green]"" if n_successes > 0 else """"

        m, s = divmod(seconds, 60)
        elapsed_time = """"
        if m > 0:
            elapsed_time += f""{m:.0f}m:""
        elapsed_time += f""{s:.2f}s""

        console.print(
            to_section_title(failures + successes + ""in "" + elapsed_time),
            style=""green"" if not n_failures else ""red"",
        )",N,,
219,networkx,networkx/networkx/classes/tests/test_reportviews.py,test_nbunch,"def test_nbunch(self):
        dv = self.dview(self.G)
        dvn = dv(0)
        assert dvn == 0
        dvn = dv([2, 3])
        assert sorted(dvn) == [(2, 1), (3, 2)]",N,,
220,plotly.py,plotly.py/packages/python/plotly/plotly/graph_objs/scattergeo/legendgrouptitle/_font.py,size,"def size(self, val):
        self[""size""] = val",N,,
221,django,django/django/db/models/fields/related_lookups.py,as_sql,"def as_sql(self, compiler, connection):
        if isinstance(self.lhs, MultiColSource):
            # For multicolumn lookups we need to build a multicolumn where clause.
            # This clause is either a SubqueryConstraint (for values that need
            # to be compiled to SQL) or an OR-combined list of
            # (col1 = val1 AND col2 = val2 AND ...) clauses.
            from django.db.models.sql.where import (
                AND,
                OR,
                SubqueryConstraint,
                WhereNode,
            )

            root_constraint = WhereNode(connector=OR)
            if self.rhs_is_direct_value():
                values = [get_normalized_value(value, self.lhs) for value in self.rhs]
                for value in values:
                    value_constraint = WhereNode()
                    for source, target, val in zip(
                        self.lhs.sources, self.lhs.targets, value
                    ):
                        lookup_class = target.get_lookup(""exact"")
                        lookup = lookup_class(
                            target.get_col(self.lhs.alias, source), val
                        )
                        value_constraint.add(lookup, AND)
                    root_constraint.add(value_constraint, OR)
            else:
                root_constraint.add(
                    SubqueryConstraint(
                        self.lhs.alias,
                        [target.column for target in self.lhs.targets],
                        [source.name for source in self.lhs.sources],
                        self.rhs,
                    ),
                    AND,
                )
            return root_constraint.as_sql(compiler, connection)
        return super().as_sql(compiler, connection)",N,,
222,paddlehub,paddlehub/modules/image/classification/repvgg_b3g4_imagenet/module.py,forward,"def forward(self, x):
        y = self.conv(x)
        y = self.bn(y)
        return y",N,,
223,models,models/research/object_detection/inputs_test.py,test_include_masks_in_data_augmentation,"def test_include_masks_in_data_augmentation(self):
    data_augmentation_options = [
        (preprocessor.resize_image, {
            'new_height': 20,
            'new_width': 20,
            'method': tf.image.ResizeMethod.NEAREST_NEIGHBOR
        })
    ]
    data_augmentation_fn = functools.partial(
        inputs.augment_input_data,
        data_augmentation_options=data_augmentation_options)
    def graph_fn():
      tensor_dict = {
          fields.InputDataFields.image:
              tf.constant(np.random.rand(10, 10, 3).astype(np.float32)),
          fields.InputDataFields.groundtruth_instance_masks:
              tf.constant(np.zeros([2, 10, 10], np.uint8)),
          fields.InputDataFields.groundtruth_instance_mask_weights:
              tf.constant([1.0, 0.0], np.float32)
      }
      augmented_tensor_dict = data_augmentation_fn(tensor_dict=tensor_dict)
      return (augmented_tensor_dict[fields.InputDataFields.image],
              augmented_tensor_dict[fields.InputDataFields.
                                    groundtruth_instance_masks],
              augmented_tensor_dict[fields.InputDataFields.
                                    groundtruth_instance_mask_weights])
    image, masks, mask_weights = self.execute_cpu(graph_fn, [])
    self.assertAllEqual(image.shape, [20, 20, 3])
    self.assertAllEqual(masks.shape, [2, 20, 20])
    self.assertAllClose(mask_weights, [1.0, 0.0])",N,,
224,sentry,sentry/src/sentry/snuba/metrics/fields/base.py,get_meta_type,"def get_meta_type(self) -> Optional[str]:
        return self.meta_type",N,,
225,zulip,zulip/zilencer/management/commands/profile_request.py,__init__,"def __init__(self) -> None:
        self.modified = False",N,,
226,imgaug,imgaug/test/augmenters/test_color.py,test_n_colors_tuple,"def test_n_colors_tuple(self):
        aug = self.augmenter(n_colors=(2, 1000))
        mock_quantize_func = mock.MagicMock(
            return_value=np.zeros((4, 4, 3), dtype=np.uint8))

        n_images = 10
        fname = self.quantization_func_name
        with mock.patch(fname, mock_quantize_func):
            image = np.zeros((4, 4, 3), dtype=np.uint8)
            _ = aug.augment_images([image] * n_images)

        # call i, args, argument 1
        n_colors = [mock_quantize_func.call_args_list[i][0][1]
                    for i in sm.xrange(n_images)]
        assert all([2 <= n_colors_i <= 1000 for n_colors_i in n_colors])
        assert len(set(n_colors)) > 1",N,,
227,numba,numba/numba/tests/test_function_type.py,test_in_choose,"def test_in_choose(self):
        """"""Functions are passed in as arguments and called conditionally.

        """"""
        def a(i):
            return i + 1

        def b(i):
            return i + 2

        def foo(a, b, choose_left):
            if choose_left:
                r = a(1)
            else:
                r = b(2)
            return r

        sig = int64(int64)

        for decor in [mk_cfunc_func(sig), njit_func,
                      mk_njit_with_sig_func(sig), mk_wap_func(sig)]:
            for jit_opts in [dict(nopython=True), dict(forceobj=True)]:
                jit_ = jit(**jit_opts)
                with self.subTest(decor=decor.__name__):
                    a_ = decor(a)
                    b_ = decor(b)
                    self.assertEqual(jit_(foo)(a_, b_, True), foo(a, b, True))
                    self.assertEqual(jit_(foo)(a_, b_, False),
                                     foo(a, b, False))
                    self.assertNotEqual(jit_(foo)(a_, b_, True),
                                        foo(a, b, False))",N,,
228,rasa,rasa/tests/core/featurizers/test_precomputation.py,test_container_message_lookup,"def test_container_message_lookup():
    # create some messages with unique key attributes
    messages = [
        Message(data={TEXT: ""A""}, features=[_dummy_features(1, TEXT)]),
        Message(data={TEXT: ""B""}),
        Message(data={INTENT: ""B""}),
        Message(data={ACTION_TEXT: ""B""}),
        Message(data={ACTION_NAME: ""B""}),
    ]
    # add messages to container
    table = MessageContainerForCoreFeaturization()
    table.add_all(messages)
    # lookup messages using existing texts
    message = table.lookup_message(user_text=""A"")
    assert message
    assert len(message.data) == 1
    assert len(message.features) == 1
    message = table.lookup_message(user_text=""B"")
    assert message
    assert len(message.data) == 1",N,,
229,pandas,pandas/pandas/io/html.py,_equals_tag,"def _equals_tag(self, obj, tag):
        return obj.name == tag",N,,
230,erpnext,erpnext/erpnext/support/doctype/service_level_agreement/service_level_agreement.py,create_docfields,"def create_docfields(self, meta, service_level_agreement_fields):
		last_index = len(meta.fields)

		for field in service_level_agreement_fields:
			if not meta.has_field(field.get(""fieldname"")):
				last_index += 1

				frappe.get_doc(
					{
						""doctype"": ""DocField"",
						""idx"": last_index,
						""parenttype"": ""DocType"",
						""parentfield"": ""fields"",
						""parent"": self.document_type,
						""label"": field.get(""label""),
						""fieldname"": field.get(""fieldname""),
						""fieldtype"": field.get(""fieldtype""),
						""collapsible"": field.get(""collapsible""),
						""options"": field.get(""options""),
						""read_only"": field.get(""read_only""),
						""hidden"": field.get(""hidden""),
						""description"": field.get(""description""),
						""default"": field.get(""default""),
					}
				).insert(ignore_permissions=True)
			else:
				existing_field = meta.get_field(field.get(""fieldname""))
				self.reset_field_properties(existing_field, ""DocField"", field)

		# to update meta and modified timestamp
		frappe.get_doc(""DocType"", self.document_type).save(ignore_permissions=True)",N,,
231,hanlp,hanlp/plugins/hanlp_restful/tests/test_client.py,test_tokenize,"def test_tokenize(self):
        print(self.HanLP.tokenize('商品和服务。阿婆主来到北京立方庭参观自然语义科技公司'))
        print(self.HanLP.tokenize('商品和服务。阿婆主来到北京立方庭参观自然语义科技公司', coarse=True))
        print(self.HanLP.tokenize(['商品和服务。', '当下雨天地面积水分外严重']))
        print(self.HanLP.tokenize(
            ['In 2021, HanLPv2.1 delivers state-of-the-art multilingual NLP techniques to production environment.',
             '2021年、HanLPv2.1は次世代の最先端多言語NLP技術を本番環境に導入します。',
             '2021年 HanLPv2.1为生产环境带来次世代最先进的多语种NLP技术。'], language='mul'))",N,,
232,mlflow,mlflow/tests/transformers/test_transformers_model_export.py,test_instructional_pipeline_no_prompt_in_output,"def test_instructional_pipeline_no_prompt_in_output(model_path):
    architecture = ""databricks/dolly-v2-3b""
    dolly = transformers.pipeline(model=architecture, trust_remote_code=True)

    mlflow.transformers.save_model(
        transformers_model=dolly,
        path=model_path,
        # Validate removal of prompt but inclusion of newlines by default
        model_config={""max_length"": 100, ""include_prompt"": False},
        input_example=""Hello, Dolly!"",
    )

    pyfunc_loaded = mlflow.pyfunc.load_model(model_path)

    inference = pyfunc_loaded.predict(""What is MLflow?"")

    assert not inference[0].startswith(""What is MLflow?"")
    assert ""\n"" in inference[0]",N,,
233,frida,frida/frida-python/frida/core.py,__repr__,"def __repr__(self) -> str:
        return repr(self._impl)",N,,
234,localstack,localstack/localstack/testing/pytest/fixtures.py,es_client,"def es_client(aws_client):
    return aws_client.es",N,,
235,models,models/research/object_detection/builders/dataset_builder_test.py,graph_fn,"def graph_fn():
      return self._get_dataset_next(
          [self._shuffle_path_template % '*'], config, batch_size=10)",N,,
236,unilm,unilm/kosmos-2/fairseq/fairseq/models/speech_to_speech/s2s_transformer.py,s2ut_architecture_fisher,"def s2ut_architecture_fisher(args):
    args.encoder_embed_dim = getattr(args, ""encoder_embed_dim"", 256)
    args.encoder_attention_heads = getattr(args, ""encoder_attention_heads"", 4)
    args.dropout = getattr(args, ""dropout"", 0.1)

    s2ut_architecture_base(args)",N,,
237,portia,portia/slybot/slybot/plugins/scrapely_annotations/processors.py,descriptor,"def descriptor(self):
        """"""Field descriptor and adaptor.""""""
        return getattr(self.schema, u'attribute_map', {}).get(self.name)",N,,
238,models,models/official/nlp/modeling/layers/text_layers.py,_tokenize_with_offsets,"def _tokenize_with_offsets(self, text_input: tf.Tensor):
    tokens, begin, _ = self._basic_tokenizer.tokenize_with_offsets(text_input)
    wordpieces, wp_begin, wp_end = (
        self._fast_wp_tokenizer.tokenize_with_offsets(tokens))
    begin_expanded = tf.expand_dims(begin, axis=2)
    final_begin = begin_expanded + wp_begin
    final_end = begin_expanded + wp_end
    return wordpieces, final_begin, final_end",N,,
239,mlflow,mlflow/tests/pyfunc/test_model_export_with_loader_module_and_data_path.py,test_signature_and_examples_are_saved_correctly,"def test_signature_and_examples_are_saved_correctly(sklearn_knn_model, iris_data):
    data = iris_data
    signature_ = infer_signature(*data)
    example_ = data[0][:3]
    for signature in (None, signature_):
        for example in (None, example_):
            with TempDir() as tmp:
                with open(tmp.path(""skmodel""), ""wb"") as f:
                    pickle.dump(sklearn_knn_model, f)
                path = tmp.path(""model"")
                mlflow.pyfunc.save_model(
                    path=path,
                    data_path=tmp.path(""skmodel""),
                    loader_module=__name__,
                    code_path=[__file__],
                    signature=signature,
                    input_example=example,
                )
                mlflow_model = Model.load(path)
                assert signature == mlflow_model.signature
                if example is None:
                    assert mlflow_model.saved_input_example_info is None
                else:
                    np.testing.assert_array_equal(_read_example(mlflow_model, path), example)",N,,
240,keras,keras/keras/applications/resnet.py,ResNet101,"def ResNet101(
    include_top=True,
    weights=""imagenet"",
    input_tensor=None,
    input_shape=None,
    pooling=None,
    classes=1000,
    **kwargs,
):
    """"""Instantiates the ResNet101 architecture.""""""

    def stack_fn(x):
        x = stack1(x, 64, 3, stride1=1, name=""conv2"")
        x = stack1(x, 128, 4, name=""conv3"")
        x = stack1(x, 256, 23, name=""conv4"")
        return stack1(x, 512, 3, name=""conv5"")

    return ResNet(
        stack_fn,
        False,
        True,
        ""resnet101"",
        include_top,
        weights,
        input_tensor,
        input_shape,
        pooling,
        classes,
        **kwargs,
    )",N,,
241,unilm,unilm/speechlm/fairseq/examples/speech_text_joint_to_text/scripts/g2p_encode.py,load_reserve_word,"def load_reserve_word(reserve_word):
    if reserve_word == """":
        return []
    with open(reserve_word, ""r"") as fp:
        res_wrds = [x.strip().split() for x in fp.readlines() if x.strip() != """"]
        assert sum([0 if len(x) == 2 else 1 for x in res_wrds]) == 0
        res_wrds = dict(res_wrds)
    return res_wrds",N,,
242,pyxel,pyxel/python/pyxel/editor/widgets/widget.py,__on_is_enabled_change,"def __on_is_enabled_change(self, value):
        self._trigger_enabled_event(value)",N,,
243,openage,openage/openage/util/fslike/union.py,poll_watches,"def poll_watches(self):
        for _, pathobj, _ in self.mounts:
            pathobj.poll_fs_watches()",N,,
